Dish Name,Category,Serving Size,Calories (kcal),Carbs (g),Protein (g),Fat (g),Notes
Chopsuey,Lunch,Per serving (250g),300,12,10,35,"Vegetable stir fry, affordable."
Tortang Talong,Lunch,Per serving (200g),280,10,16,24,"Eggplant omelet, budget-friendly."
Tortang Giniling,Lunch,Per serving (200g),330,14,18,28,"Ground pork omelet, low-cost meal."
Ginisang Ampalaya,Lunch,Per serving (200g),240,8,12,20,Nutritious bitter gourd dish.
Ginisang Upo,Lunch,Per serving (200g),230,6,10,25,"Bottle gourd sauté, affordable veggie."
Ginisang Sayote,Lunch,Per serving (200g),220,6,8,25,Cheap and nutritious gourd dish.
Ginisang Pechay,Lunch,Per serving (200g),210,5,8,20,Nutritious leafy green sauté.
Ginataang Langka,Lunch,Per serving (200g),310,8,18,28,Young jackfruit in coconut milk.
Tokwat Baboy,Lunch,Per serving (200g),350,20,22,15,Affordable mix of tofu and pork.
Paksiw na Bangus,Lunch,Per serving (200g),340,28,14,12,"Sour milkfish stew, very affordable."
Adobong Sitaw at Kalabasa,Dinner,Per serving (200g),300,12,16,25,Hearty vegetable adobo.
Sinigang na Manok,Dinner,Per serving (250g),390,26,14,25,"Sour chicken soup, budget-friendly."
Tinolang Isda,Dinner,Per serving (250g),360,28,12,20,Nutritious and affordable fish soup.
Tinolang Tahong,Dinner,Per serving (250g),340,24,8,22,Mussel soup; high in protein.
Inihaw na Manok,Dinner,Per serving (250g),420,30,18,20,"Grilled chicken, affordable protein."
Inihaw na Isda,Dinner,Per serving (250g),360,30,14,18,"Grilled fish, common household dish."
Fried Tilapia,Dinner,1 pc (200g),370,32,16,18,Budget-friendly fish dinner.
Pork BBQ with Rice,Dinner,2 sticks + rice (200g),430,20,24,35,Affordable street-style dinner.
Chicken BBQ with Rice,Dinner,2 sticks + rice (200g),410,22,20,32,Affordable grilled option.
Lumpiang Shanghai with Rice,Dinner,5 pcs + rice (250g),460,20,26,40,Budget-friendly party staple.
Pork Sinigang,Dinner,Per serving (250g),450,28,22,30,"Sour pork soup, filling dinner."
Beef Nilaga,Dinner,Per serving (250g),470,28,28,25,Hearty boiled beef dish.
Bulalo (Budget Cut),Dinner,Per serving (250g),480,30,30,20,Affordable beef soup using shank.
Batchoy,Dinner,Per bowl (250g),400,20,18,50,"Noodle soup, very filling."
Mami,Dinner,Per bowl (250g),380,18,12,48,Affordable noodle soup.
Pork Caldereta,Dinner,Per serving (250g),460,26,28,30,Tomato-based pork stew.
Chicken Caldereta,Dinner,Per serving (250g),440,24,22,32,Budget-friendly chicken stew.
Vegetable Caldereta,Dinner,Per serving (250g),360,10,14,45,Affordable veggie stew.
Dinengdeng,Dinner,Per serving (200g),280,8,12,30,"Ilocano dish, veggies with bagoong."
Ensaladang Talong,Dinner,Per serving (200g),220,6,8,20,Grilled eggplant salad.
Ensaladang Mangga,Dinner,Per serving (200g),210,4,6,25,"Green mango salad, cheap option."
Laoya,Dinner,Per serving (250g),450,28,26,30,Mindanao beef soup.
Kinilaw na Isda,Dinner,Per serving (200g),320,26,10,18,"Filipino ceviche, budget version."
Paksiw na Isda,Dinner,Per serving (200g),330,28,12,15,"Sour fish stew, affordable dish."
Paklay,Dinner,Per serving (250g),420,22,20,30,Mindanao dish of innards.
Balbacua,Dinner,Per serving (250g),470,30,28,25,"Beef stew with tendons, affordable."
Kinunot na Pagi,Dinner,Per serving (200g),350,20,16,22,"Bicol stingray dish, local specialty."
Pangat na Isda,Dinner,Per serving (200g),340,28,14,15,Boiled fish in tomatoes.
Tinapang Galunggong,Dinner,1 pc (200g),360,30,15,12,"Smoked fish dinner, cheap protein."
Utang Bisaya (Vegetable Soup),Dinner,Per serving (250g),260,8,6,40,Cebuano veggie soup.
Bicol Express,Dinner,Per serving (200g),380,14,24,22,Spicy pork with coconut milk.
Ginataang Puso ng Saging,Dinner,Per serving (200g),310,10,18,20,Banana blossom in coconut milk.
Ginisang Repolyo,Dinner,Per serving (200g),230,6,8,28,"Sauted cabbage, affordable dish."
Ginataang Malunggay,Dinner,Per serving (200g),280,8,12,30,Highly nutritious leaf dish.
